,age,selling_price,km_driven,owner,name,fuel,seller_type,transmission
262,6.0,2820.0,20000.0,1.0,Maruti,Petrol,Individual,Manual
263,14.0,3000.0,50000.0,1.0,Hyundai,Petrol,Individual,Manual
264,13.0,2700.0,110000.0,2.0,Hyundai,Petrol,Individual,Manual
265,10.0,5500.0,29000.0,1.0,Hyundai,Diesel,Individual,Manual
266,10.0,4500.0,120000.0,1.0,Mahindra,Diesel,Individual,Manual
267,12.0,4300.0,70000.0,2.0,Mahindra,Diesel,Individual,Manual
268,10.0,3500.0,40000.0,1.0,Maruti,Petrol,Individual,Manual
269,6.0,3500.0,20000.0,1.0,Honda,Petrol,Individual,Manual
270,10.0,2299.0,50000.0,2.0,Toyota,Petrol,Individual,Manual
271,10.0,1100.0,50000.0,1.0,Maruti,Petrol,Individual,Manual
272,11.0,3950.0,49000.0,2.0,Maruti,Petrol,Individual,Manual
273,12.0,6500.0,70000.0,2.0,Mahindra,Diesel,Individual,Automatic
274,12.0,3500.0,90000.0,2.0,Mahindra,Diesel,Individual,Manual
276,5.0,3600.0,4000.0,1.0,Tata,Petrol,Individual,Manual
277,5.0,13000.0,10000.0,1.0,Mahindra,Diesel,Individual,Manual
278,8.0,8000.0,15000.0,1.0,Renault,Diesel,Individual,Manual
279,5.0,2299.0,30000.0,1.0,Hyundai,Petrol,Individual,Manual
280,9.0,3150.0,41000.0,1.0,Maruti,Petrol,Dealer,Manual
281,11.0,1250.0,28000.0,1.0,Chevrolet,Petrol,Individual,Manual
282,4.0,7000.0,16000.0,1.0,Maruti,Petrol,Individual,Manual
283,8.0,1600.0,70000.0,1.0,Hyundai,Petrol,Individual,Manual
284,6.0,5300.0,10832.0,1.0,Ford,Petrol,Dealer,Manual
285,5.0,6240.0,14681.0,1.0,Ford,Diesel,Dealer,Manual
286,14.0,2500.0,50000.0,1.0,Hyundai,Petrol,Individual,Manual
287,7.0,5850.0,51000.0,1.0,Mahindra,Diesel,Dealer,Manual
288,8.0,5000.0,25000.0,1.0,Hyundai,Petrol,Individual,Manual
289,9.0,3500.0,30000.0,1.0,Chevrolet,Petrol,Individual,Manual
290,9.0,4950.0,80000.0,1.0,Honda,Diesel,Dealer,Manual
291,6.0,5000.0,50000.0,1.0,Hyundai,Petrol,Individual,Manual
293,10.0,3450.0,44000.0,1.0,Hyundai,Petrol,Dealer,Manual
294,8.0,5000.0,10000.0,1.0,Maruti,Petrol,Individual,Manual
295,4.0,4250.0,19600.0,1.0,Tata,Petrol,Individual,Manual
296,18.0,800.0,40000.0,2.0,Maruti,Petrol,Individual,Manual
297,12.0,1060.0,50000.0,1.0,Chevrolet,Diesel,Individual,Manual
298,14.0,1800.0,46730.0,1.0,Maruti,Petrol,Individual,Manual
299,8.0,2500.0,40000.0,2.0,Datsun,Petrol,Individual,Manual
300,12.0,3500.0,80000.0,1.0,Skoda,Diesel,Individual,Manual
302,5.0,9000.0,24000.0,1.0,Hyundai,Diesel,Individual,Manual
303,6.0,7000.0,21170.0,1.0,Ford,Diesel,Dealer,Manual
305,6.0,10000.0,40000.0,1.0,Maruti,Diesel,Individual,Manual
308,16.0,1600.0,120000.0,3.0,Chevrolet,Diesel,Individual,Manual
309,11.0,5250.0,140000.0,1.0,Mitsubishi,Petrol,Individual,Automatic
311,4.0,8000.0,30000.0,1.0,Maruti,Diesel,Individual,Manual
312,6.0,7000.0,88635.0,1.0,Ford,Diesel,Dealer,Manual
313,5.0,8000.0,25000.0,1.0,Maruti,Diesel,Individual,Manual
314,6.0,5750.0,20000.0,2.0,Hyundai,Petrol,Individual,Manual
315,11.0,3500.0,110000.0,2.0,Renault,Diesel,Individual,Manual
316,15.0,2500.0,120000.0,3.0,Maruti,Diesel,Individual,Manual
317,12.0,6000.0,149674.0,2.0,Ford,Diesel,Dealer,Manual
318,16.0,3700.0,100000.0,3.0,Mahindra,Diesel,Individual,Manual
319,17.0,800.0,120000.0,3.0,Maruti,Petrol,Individual,Manual
320,20.0,500.0,120000.0,2.0,Tata,Diesel,Individual,Manual
321,5.0,9000.0,25000.0,1.0,Hyundai,Diesel,Individual,Manual
322,9.0,3000.0,35000.0,2.0,Maruti,Petrol,Individual,Manual
324,8.0,4900.0,60000.0,2.0,Maruti,Diesel,Individual,Manual
325,11.0,3000.0,50000.0,2.0,Toyota,Diesel,Individual,Manual
327,7.0,3500.0,25000.0,1.0,Hyundai,Petrol,Individual,Manual
328,4.0,7550.0,8000.0,1.0,Hyundai,Diesel,Individual,Manual
329,6.0,7200.0,60000.0,1.0,Maruti,Diesel,Individual,Manual
331,5.0,11000.0,20000.0,1.0,Mahindra,Diesel,Individual,Manual
332,10.0,4000.0,100000.0,1.0,Volkswagen,Petrol,Individual,Manual
333,8.0,3500.0,70000.0,2.0,Hyundai,Diesel,Individual,Manual
334,11.0,1590.0,68000.0,1.0,Chevrolet,Diesel,Dealer,Manual
335,6.0,5500.0,38000.0,1.0,Maruti,Petrol,Dealer,Manual
336,10.0,3350.0,80000.0,1.0,Maruti,Diesel,Dealer,Manual
337,9.0,1850.0,72000.0,1.0,Tata,CNG,Dealer,Manual
338,11.0,2299.0,75000.0,1.0,Maruti,CNG,Dealer,Manual
339,9.0,2250.0,43000.0,1.0,Maruti,Petrol,Dealer,Manual
340,16.0,2500.0,120000.0,2.0,Maruti,Petrol,Individual,Manual
341,8.0,4000.0,100000.0,1.0,Tata,Diesel,Individual,Manual
342,9.0,4700.0,163000.0,1.0,Maruti,Diesel,Individual,Manual
343,5.0,3000.0,25000.0,1.0,Maruti,Petrol,Individual,Automatic
344,12.0,1450.0,25000.0,1.0,Maruti,Petrol,Individual,Manual
345,16.0,1000.0,90000.0,2.0,Maruti,Petrol,Individual,Manual
346,9.0,5000.0,70000.0,2.0,Mahindra,Diesel,Individual,Manual
347,13.0,1300.0,98000.0,2.0,Hyundai,CNG,Individual,Manual
348,13.0,2400.0,81925.0,1.0,Chevrolet,Diesel,Individual,Manual
349,10.0,1500.0,80000.0,2.0,Ford,Diesel,Individual,Manual
350,6.0,2700.0,40000.0,1.0,Renault,Petrol,Individual,Manual
351,9.0,4000.0,90000.0,1.0,Maruti,Diesel,Individual,Manual
352,11.0,2000.0,46000.0,1.0,Hyundai,Petrol,Individual,Manual
353,11.0,5500.0,80000.0,1.0,Mahindra,Diesel,Individual,Manual
354,5.0,3250.0,35000.0,1.0,Renault,Petrol,Individual,Manual
355,6.0,8600.0,82080.0,1.0,Skoda,Diesel,Individual,Automatic
357,14.0,1250.0,70000.0,1.0,Chevrolet,Petrol,Individual,Manual
359,13.0,3000.0,120000.0,3.0,Chevrolet,Diesel,Individual,Manual
360,16.0,1900.0,60000.0,3.0,Ford,Petrol,Individual,Manual
361,10.0,4000.0,110000.0,1.0,Maruti,Diesel,Individual,Manual
362,12.0,2600.0,97000.0,2.0,Tata,Diesel,Individual,Manual
363,6.0,4000.0,30000.0,1.0,Maruti,Petrol,Individual,Manual
364,13.0,2500.0,40000.0,1.0,Hyundai,Petrol,Individual,Manual
365,4.0,6000.0,10000.0,1.0,Hyundai,Petrol,Individual,Manual
366,13.0,1750.0,52047.0,1.0,Maruti,Petrol,Individual,Manual
368,4.0,3500.0,15000.0,2.0,Tata,Petrol,Individual,Automatic
369,5.0,8000.0,50000.0,1.0,Maruti,Diesel,Individual,Manual
370,12.0,2500.0,70000.0,2.0,Maruti,Petrol,Individual,Manual
371,4.0,6000.0,10000.0,1.0,Maruti,Petrol,Individual,Manual
372,6.0,6000.0,90000.0,1.0,Maruti,Diesel,Individual,Manual
373,7.0,1300.0,40000.0,1.0,Maruti,Petrol,Individual,Manual
374,17.0,900.0,62009.0,2.0,Maruti,Petrol,Individual,Manual
375,6.0,5950.0,33100.0,2.0,Hyundai,Petrol,Individual,Manual
376,9.0,1900.0,40000.0,2.0,Hyundai,Petrol,Individual,Manual
378,16.0,950.0,80000.0,1.0,Maruti,Petrol,Individual,Manual
379,7.0,10000.0,70000.0,1.0,Tata,Diesel,Individual,Manual
381,13.0,4000.0,50000.0,1.0,Mahindra,Diesel,Individual,Manual
382,8.0,3150.0,45000.0,2.0,Datsun,Petrol,Individual,Manual
383,9.0,10000.0,110000.0,1.0,Toyota,Diesel,Individual,Manual
384,9.0,5000.0,49000.0,1.0,Ford,Diesel,Individual,Manual
386,6.0,5000.0,160000.0,1.0,Mahindra,Diesel,Individual,Manual
388,16.0,1050.0,60000.0,2.0,Maruti,Petrol,Individual,Manual
389,15.0,4000.0,110000.0,3.0,Ford,Diesel,Individual,Manual
390,19.0,800.0,60000.0,3.0,Maruti,Petrol,Individual,Manual
391,7.0,3000.0,30000.0,1.0,Maruti,Petrol,Individual,Manual
392,6.0,4099.0,40000.0,1.0,Mahindra,Diesel,Individual,Manual
393,14.0,2500.0,70000.0,1.0,Maruti,Petrol,Individual,Manual
394,13.0,2500.0,120000.0,2.0,Tata,Diesel,Individual,Manual
395,11.0,2150.0,80000.0,3.0,Maruti,Diesel,Individual,Manual
397,5.0,4750.0,20000.0,1.0,Honda,Petrol,Individual,Manual
398,5.0,4750.0,22000.0,1.0,Honda,Petrol,Individual,Manual
399,15.0,750.0,35000.0,2.0,Chevrolet,Petrol,Individual,Manual
400,10.0,2000.0,120000.0,2.0,Chevrolet,Diesel,Individual,Manual
401,4.0,5750.0,8000.0,1.0,Tata,Petrol,Individual,Manual
402,12.0,1500.0,40000.0,2.0,Maruti,Diesel,Individual,Manual
403,5.0,8500.0,10000.0,1.0,Maruti,Diesel,Individual,Manual
404,4.0,3500.0,30000.0,1.0,Hyundai,Petrol,Individual,Manual
405,12.0,5500.0,54000.0,2.0,Ford,Diesel,Individual,Manual
406,6.0,3300.0,80577.0,1.0,Hyundai,Petrol,Individual,Manual
407,6.0,10449.0,25000.0,1.0,Honda,Diesel,Individual,Manual
408,12.0,3000.0,127500.0,2.0,Hyundai,Diesel,Individual,Manual
409,8.0,2350.0,40903.0,1.0,Hyundai,Petrol,Dealer,Manual
410,12.0,1200.0,60000.0,3.0,Ford,Petrol,Individual,Manual
411,19.0,1300.0,46000.0,1.0,Maruti,Petrol,Individual,Manual
412,19.0,2750.0,22288.0,2.0,Ford,Diesel,Dealer,Manual
414,8.0,5000.0,30000.0,2.0,Volkswagen,Diesel,Individual,Manual
415,8.0,4000.0,61690.0,1.0,Hyundai,Petrol,Dealer,Manual
416,8.0,6000.0,64484.0,1.0,Hyundai,Petrol,Dealer,Manual
